npy_filepath,label,original_size,new_size,original_file_path,split
"train/446242-9163-54748-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(300, 237)","(300, 237)","1.training/446242-9163-54748-[1, 1, 0].png",train
"train/TCGA-67-6217-01A-01-TS1-24015-9658-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(249, 243)","(249, 243)","1.training/TCGA-67-6217-01A-01-TS1-24015-9658-[0, 1, 0].png",train
"train/TCGA-55-7570-01Z-00-DX1-48617-28601-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(288, 166)","(288, 166)","1.training/TCGA-55-7570-01Z-00-DX1-48617-28601-[0, 1, 0].png",train
"train/TCGA-55-6983-01Z-00-DX1-15659-35431-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(279, 269)","(279, 269)","1.training/TCGA-55-6983-01Z-00-DX1-15659-35431-[0, 1, 0].png",train
"train/1121244-31963-36074-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(190, 190)","(190, 190)","1.training/1121244-31963-36074-[1, 1, 0].png",train
"train/1205260-10056-26183-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(256, 187)","(256, 187)","1.training/1205260-10056-26183-[1, 1, 0].png",train
"train/1021408-19288-39809-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(238, 285)","(238, 285)","1.training/1021408-19288-39809-[1, 1, 0].png",train
"train/1224965-9711-40156-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(243, 180)","(243, 180)","1.training/1224965-9711-40156-[1, 0, 0].png",train
"train/1205260-14838-28089-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(257, 285)","(257, 285)","1.training/1205260-14838-28089-[1, 1, 0].png",train
"train/1217322-50100-26391-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(209, 294)","(209, 294)","1.training/1217322-50100-26391-[1, 1, 0].png",train
"train/1005919-6488-28560-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(220, 270)","(220, 270)","1.training/1005919-6488-28560-[1, 1, 0].png",train
"train/1006595-33012-3880-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(159, 238)","(159, 238)","1.training/1006595-33012-3880-[1, 0, 0].png",train
"train/1006595-19733-35600-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(234, 209)","(234, 209)","1.training/1006595-19733-35600-[1, 1, 0].png",train
"train/1205260-34561-10760-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(294, 212)","(294, 212)","1.training/1205260-34561-10760-[0, 0, 1].png",train
"train/1122944-44463-47403-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(224, 222)","(224, 222)","1.training/1122944-44463-47403-[0, 0, 1].png",train
"train/TCGA-MN-A4N4-01Z-00-DX1-80552-35708-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(180, 191)","(180, 191)","1.training/TCGA-MN-A4N4-01Z-00-DX1-80552-35708-[1, 0, 0].png",train
"train/1209559-18119-16765-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(232, 234)","(232, 234)","1.training/1209559-18119-16765-[1, 1, 0].png",train
"train/1224965-17619-44496-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(218, 168)","(218, 168)","1.training/1224965-17619-44496-[1, 1, 0].png",train
"train/449636-30974-6624-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(163, 185)","(163, 185)","1.training/449636-30974-6624-[0, 0, 1].png",train
"train/1124863-13266-21790-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(174, 294)","(174, 294)","1.training/1124863-13266-21790-[1, 1, 0].png",train
"train/440930-6464-31469-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(180, 279)","(180, 279)","1.training/440930-6464-31469-[1, 1, 0].png",train
"train/1122944-47775-22047-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(268, 173)","(268, 173)","1.training/1122944-47775-22047-[0, 0, 1].png",train
"train/1122944-41255-27408-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(229, 155)","(229, 155)","1.training/1122944-41255-27408-[0, 1, 0].png",train
"train/1224965-31458-52091-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(187, 203)","(187, 203)","1.training/1224965-31458-52091-[1, 0, 0].png",train
"train/1222870-7333-35541-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(257, 228)","(257, 228)","1.training/1222870-7333-35541-[0, 1, 0].png",train
"train/1004276-51637-18557-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(171, 174)","(171, 174)","1.training/1004276-51637-18557-[1, 1, 0].png",train
"train/TCGA-91-8496-01A-01-BS1-18453-9227-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(165, 280)","(165, 280)","1.training/TCGA-91-8496-01A-01-BS1-18453-9227-[1, 1, 0].png",train
"train/1114839-17065-46030-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(189, 239)","(189, 239)","1.training/1114839-17065-46030-[1, 1, 0].png",train
"train/TCGA-67-6217-01A-01-TS1-5060-19138-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(295, 300)","(295, 300)","1.training/TCGA-67-6217-01A-01-TS1-5060-19138-[1, 1, 0].png",train
"train/1122793-22854-7688-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(204, 210)","(204, 210)","1.training/1122793-22854-7688-[0, 0, 1].png",train
"train/1031280-15884-15819-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(257, 207)","(257, 207)","1.training/1031280-15884-15819-[1, 0, 0].png",train
"train/444302-6526-26805-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(266, 264)","(266, 264)","1.training/444302-6526-26805-[0, 1, 0].png",train
"train/1122944-19139-43392-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(177, 260)","(177, 260)","1.training/1122944-19139-43392-[0, 0, 1].png",train
"train/1222870-21581-13448-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(228, 275)","(228, 275)","1.training/1222870-21581-13448-[0, 0, 1].png",train
"train/1122944-44920-48099-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(209, 151)","(209, 151)","1.training/1122944-44920-48099-[0, 0, 1].png",train
"train/446242-6501-29056-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(191, 298)","(191, 298)","1.training/446242-6501-29056-[1, 1, 0].png",train
"train/1205260-19620-30948-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(232, 223)","(232, 223)","1.training/1205260-19620-30948-[1, 1, 0].png",train
"train/449636-17553-59320-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(216, 176)","(216, 176)","1.training/449636-17553-59320-[1, 1, 0].png",train
"train/1031280-3998-34578-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(282, 195)","(282, 195)","1.training/1031280-3998-34578-[1, 0, 0].png",train
"train/1004470-34893-28608-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(190, 202)","(190, 202)","1.training/1004470-34893-28608-[1, 1, 0].png",train
"train/1125346-16077-15681-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(169, 270)","(169, 270)","1.training/1125346-16077-15681-[1, 1, 0].png",train
"train/1004276-40065-23753-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(258, 243)","(258, 243)","1.training/1004276-40065-23753-[1, 1, 0].png",train
"train/1021408-35878-29561-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(231, 213)","(231, 213)","1.training/1021408-35878-29561-[0, 0, 1].png",train
"train/1205260-34956-11308-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(177, 220)","(177, 220)","1.training/1205260-34956-11308-[0, 0, 1].png",train
"train/1200164-14455-23323-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(161, 210)","(161, 210)","1.training/1200164-14455-23323-[1, 1, 0].png",train
"train/TCGA-78-8662-01Z-00-DX1-27741-53293-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(169, 200)","(169, 200)","1.training/TCGA-78-8662-01Z-00-DX1-27741-53293-[1, 0, 0].png",train
"train/1117906-23498-25325-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(291, 276)","(291, 276)","1.training/1117906-23498-25325-[1, 1, 0].png",train
"train/1222870-21297-13583-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(245, 221)","(245, 221)","1.training/1222870-21297-13583-[0, 0, 1].png",train
"train/1032888-22447-34222-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(241, 282)","(241, 282)","1.training/1032888-22447-34222-[1, 1, 0].png",train
"train/1124863-29639-31311-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(284, 256)","(284, 256)","1.training/1124863-29639-31311-[0, 0, 1].png",train
"train/1200530-13674-10002-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(154, 259)","(154, 259)","1.training/1200530-13674-10002-[0, 1, 0].png",train
"train/446242-13156-9787-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(188, 234)","(188, 234)","1.training/446242-13156-9787-[1, 1, 0].png",train
"train/1222870-16801-4989-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(240, 156)","(240, 156)","1.training/1222870-16801-4989-[0, 0, 1].png",train
"train/1221636-18515-29548-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(264, 243)","(264, 243)","1.training/1221636-18515-29548-[1, 1, 0].png",train
"train/TCGA-67-6217-01A-01-TS1-31773-27346-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(275, 191)","(275, 191)","1.training/TCGA-67-6217-01A-01-TS1-31773-27346-[1, 1, 0].png",train
"train/1124863-10281-22329-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(288, 223)","(288, 223)","1.training/1124863-10281-22329-[1, 1, 0].png",train
"train/1125346-31768-16820-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(292, 185)","(292, 185)","1.training/1125346-31768-16820-[1, 0, 0].png",train
"train/1124863-26351-15702-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(233, 223)","(233, 223)","1.training/1124863-26351-15702-[1, 1, 0].png",train
"train/1222870-22149-12908-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(216, 275)","(216, 275)","1.training/1222870-22149-12908-[0, 0, 1].png",train
"train/1138508-16661-15289-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(212, 210)","(212, 210)","1.training/1138508-16661-15289-[1, 1, 0].png",train
"train/1124863-35776-30318-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(164, 261)","(164, 261)","1.training/1124863-35776-30318-[1, 1, 0].png",train
"train/1115849-29551-15090-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(157, 218)","(157, 218)","1.training/1115849-29551-15090-[0, 1, 0].png",train
"train/TCGA-78-8662-01Z-00-DX1-84028-19475-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(289, 284)","(289, 284)","1.training/TCGA-78-8662-01Z-00-DX1-84028-19475-[0, 0, 1].png",train
"train/449636-32785-20638-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(272, 234)","(272, 234)","1.training/449636-32785-20638-[1, 1, 0].png",train
"train/1111462-9017-33083-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(216, 248)","(216, 248)","1.training/1111462-9017-33083-[1, 1, 0].png",train
"train/1205260-16432-13794-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(290, 191)","(290, 191)","1.training/1205260-16432-13794-[1, 1, 0].png",train
"train/1206584-24739-51877-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(218, 223)","(218, 223)","1.training/1206584-24739-51877-[1, 1, 0].png",train
"train/1222870-19721-5164-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(252, 261)","(252, 261)","1.training/1222870-19721-5164-[0, 0, 1].png",train
"train/1217322-12398-32459-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(219, 222)","(219, 222)","1.training/1217322-12398-32459-[1, 1, 0].png",train
"train/TCGA-67-6217-01A-01-TS1-24688-28434-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(239, 291)","(239, 291)","1.training/TCGA-67-6217-01A-01-TS1-24688-28434-[1, 1, 0].png",train
"train/1117906-30214-49990-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(221, 197)","(221, 197)","1.training/1117906-30214-49990-[0, 0, 1].png",train
"train/TCGA-53-A4EZ-01Z-00-DX1-25987-39327-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(252, 278)","(252, 278)","1.training/TCGA-53-A4EZ-01Z-00-DX1-25987-39327-[0, 1, 0].png",train
"train/1218745-26680-33178-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(266, 239)","(266, 239)","1.training/1218745-26680-33178-[1, 1, 0].png",train
"train/1203706-21444-47417-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(240, 203)","(240, 203)","1.training/1203706-21444-47417-[1, 1, 0].png",train
"train/1209158-23276-41791-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(193, 250)","(193, 250)","1.training/1209158-23276-41791-[1, 0, 0].png",train
"train/TCGA-49-4512-01Z-00-DX1-74825-9932-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(179, 168)","(179, 168)","1.training/TCGA-49-4512-01Z-00-DX1-74825-9932-[1, 1, 0].png",train
"train/1221636-28570-31245-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(269, 240)","(269, 240)","1.training/1221636-28570-31245-[1, 1, 0].png",train
"train/440930-33549-19072-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(202, 288)","(202, 288)","1.training/440930-33549-19072-[1, 0, 0].png",train
"train/1121662-25814-11968-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(186, 262)","(186, 262)","1.training/1121662-25814-11968-[1, 0, 0].png",train
"train/TCGA-55-1594-01Z-00-DX1-79556-33667-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(238, 292)","(238, 292)","1.training/TCGA-55-1594-01Z-00-DX1-79556-33667-[1, 0, 0].png",train
"train/1223954-39061-15048-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(151, 242)","(151, 242)","1.training/1223954-39061-15048-[0, 0, 1].png",train
"train/440682-17337-17297-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(275, 282)","(275, 282)","1.training/440682-17337-17297-[1, 1, 0].png",train
"train/1203706-36326-37917-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(282, 153)","(282, 153)","1.training/1203706-36326-37917-[1, 0, 0].png",train
"train/1205260-11650-10935-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(185, 176)","(185, 176)","1.training/1205260-11650-10935-[1, 1, 0].png",train
"train/439448-20443-36174-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(266, 173)","(266, 173)","1.training/439448-20443-36174-[1, 1, 0].png",train
"train/TCGA-67-6217-01A-01-TS1-14872-24427-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(245, 279)","(245, 279)","1.training/TCGA-67-6217-01A-01-TS1-14872-24427-[1, 1, 0].png",train
"train/1111462-14027-24326-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(172, 260)","(172, 260)","1.training/1111462-14027-24326-[1, 1, 0].png",train
"train/1222870-18261-6389-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(263, 172)","(263, 172)","1.training/1222870-18261-6389-[0, 0, 1].png",train
"train/1124863-12271-22329-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(265, 155)","(265, 155)","1.training/1124863-12271-22329-[1, 1, 0].png",train
"train/1224965-37389-33646-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(267, 218)","(267, 218)","1.training/1224965-37389-33646-[1, 0, 0].png",train
"train/1218745-24131-47857-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(184, 271)","(184, 271)","1.training/1218745-24131-47857-[1, 1, 0].png",train
"train/1122944-28388-52597-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(190, 246)","(190, 246)","1.training/1122944-28388-52597-[0, 0, 1].png",train
"train/1125346-35002-27155-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(223, 290)","(223, 290)","1.training/1125346-35002-27155-[1, 1, 0].png",train
"train/1121662-11564-29878-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(283, 300)","(283, 300)","1.training/1121662-11564-29878-[1, 1, 0].png",train
"train/1021305-4985-4437-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(297, 295)","(297, 295)","1.training/1021305-4985-4437-[0, 1, 0].png",train
"train/1004470-35190-37591-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(278, 166)","(278, 166)","1.training/1004470-35190-37591-[1, 1, 0].png",train
"train/440930-44189-20144-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(154, 254)","(154, 254)","1.training/440930-44189-20144-[1, 1, 0].png",train
"train/1021408-30901-36881-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(298, 158)","(298, 158)","1.training/1021408-30901-36881-[0, 0, 1].png",train
"train/1138508-12767-17425-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(182, 206)","(182, 206)","1.training/1138508-12767-17425-[1, 1, 0].png",train
"train/TCGA-55-1594-01Z-00-DX1-53793-37758-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(183, 160)","(183, 160)","1.training/TCGA-55-1594-01Z-00-DX1-53793-37758-[1, 1, 0].png",train
"train/1121662-24389-13958-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(226, 278)","(226, 278)","1.training/1121662-24389-13958-[1, 1, 0].png",train
"train/TCGA-55-1594-01Z-00-DX1-13294-31154-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(227, 214)","(227, 214)","1.training/TCGA-55-1594-01Z-00-DX1-13294-31154-[1, 0, 0].png",train
"train/1115849-39836-39486-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(257, 196)","(257, 196)","1.training/1115849-39836-39486-[1, 1, 0].png",train
"train/1208368-13266-55437-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(163, 178)","(163, 178)","1.training/1208368-13266-55437-[0, 0, 1].png",train
"train/TCGA-99-7458-01A-01-BS1-10714-20483-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(207, 185)","(207, 185)","1.training/TCGA-99-7458-01A-01-BS1-10714-20483-[0, 0, 1].png",train
"train/1224965-23550-37986-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(178, 264)","(178, 264)","1.training/1224965-23550-37986-[1, 0, 0].png",train
"train/1209158-31471-27163-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(236, 250)","(236, 250)","1.training/1209158-31471-27163-[1, 1, 0].png",train
"train/1208368-25425-34335-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(299, 195)","(299, 195)","1.training/1208368-25425-34335-[1, 1, 0].png",train
"train/1205260-8462-26183-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(196, 260)","(196, 260)","1.training/1205260-8462-26183-[1, 1, 0].png",train
"train/1206584-33811-35938-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(204, 230)","(204, 230)","1.training/1206584-33811-35938-[1, 1, 0].png",train
"train/TCGA-67-6217-01A-01-TS1-24039-5043-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(281, 270)","(281, 270)","1.training/TCGA-67-6217-01A-01-TS1-24039-5043-[1, 1, 0].png",train
"train/1122944-40350-51115-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(199, 155)","(199, 155)","1.training/1122944-40350-51115-[0, 0, 1].png",train
"train/1115189-11459-48298-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(164, 289)","(164, 289)","1.training/1115189-11459-48298-[1, 1, 0].png",train
"train/TCGA-67-6217-01A-01-TS1-17926-20130-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(220, 243)","(220, 243)","1.training/TCGA-67-6217-01A-01-TS1-17926-20130-[1, 1, 0].png",train
"train/1208368-59459-18135-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(222, 215)","(222, 215)","1.training/1208368-59459-18135-[1, 1, 0].png",train
"train/TCGA-55-1594-01Z-00-DX1-45074-15196-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(297, 300)","(297, 300)","1.training/TCGA-55-1594-01Z-00-DX1-45074-15196-[1, 1, 0].png",train
"train/1115189-38375-41674-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(291, 258)","(291, 258)","1.training/1115189-38375-41674-[0, 1, 0].png",train
"train/TCGA-67-6217-01A-01-TS1-7973-30717-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(154, 189)","(154, 189)","1.training/TCGA-67-6217-01A-01-TS1-7973-30717-[1, 1, 0].png",train
"train/1224965-29481-41241-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(210, 226)","(210, 226)","1.training/1224965-29481-41241-[1, 0, 0].png",train
"train/1021305-39915-32577-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(272, 252)","(272, 252)","1.training/1021305-39915-32577-[0, 1, 0].png",train
"train/1209158-30726-34477-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(243, 246)","(243, 246)","1.training/1209158-30726-34477-[1, 1, 0].png",train
"train/TCGA-78-8662-01Z-00-DX1-40827-49217-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(284, 150)","(284, 150)","1.training/TCGA-78-8662-01Z-00-DX1-40827-49217-[1, 1, 0].png",train
"train/1200164-12842-20791-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(269, 256)","(269, 256)","1.training/1200164-12842-20791-[1, 0, 0].png",train
"train/1125346-12057-17301-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(161, 240)","(161, 240)","1.training/1125346-12057-17301-[1, 1, 0].png",train
"train/1115849-36835-11793-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(257, 258)","(257, 258)","1.training/1115849-36835-11793-[1, 1, 0].png",train
"train/1125346-29612-29222-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(281, 279)","(281, 279)","1.training/1125346-29612-29222-[1, 0, 0].png",train
"train/1222870-19158-38651-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(195, 295)","(195, 295)","1.training/1222870-19158-38651-[1, 1, 0].png",train
"train/TCGA-67-6217-01A-01-TS1-30365-34519-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(150, 227)","(150, 227)","1.training/TCGA-67-6217-01A-01-TS1-30365-34519-[1, 1, 0].png",train
"train/TCGA-78-8662-01Z-00-DX1-45573-29963-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(220, 257)","(220, 257)","1.training/TCGA-78-8662-01Z-00-DX1-45573-29963-[1, 1, 0].png",train
"train/1122944-22767-29036-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(229, 164)","(229, 164)","1.training/1122944-22767-29036-[0, 1, 0].png",train
"train/1032888-24036-8204-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(186, 260)","(186, 260)","1.training/1032888-24036-8204-[0, 0, 1].png",train
"train/1109944-26828-60515-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(237, 162)","(237, 162)","1.training/1109944-26828-60515-[0, 1, 0].png",train
"train/1115189-20431-48298-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(288, 211)","(288, 211)","1.training/1115189-20431-48298-[0, 1, 0].png",train
"train/449636-28846-6390-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(291, 294)","(291, 294)","1.training/449636-28846-6390-[0, 0, 1].png",train
"train/1115189-31646-44986-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(194, 258)","(194, 258)","1.training/1115189-31646-44986-[1, 1, 0].png",train
"train/1205260-29184-13794-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(200, 169)","(200, 169)","1.training/1205260-29184-13794-[1, 1, 0].png",train
"train/1203706-32074-22717-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(248, 285)","(248, 285)","1.training/1203706-32074-22717-[0, 1, 0].png",train
"train/1205260-29184-29042-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(210, 285)","(210, 285)","1.training/1205260-29184-29042-[1, 1, 0].png",train
"train/436219-35356-39687-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(245, 197)","(245, 197)","1.training/436219-35356-39687-[1, 1, 0].png",train
"train/447079-14484-43154-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(204, 211)","(204, 211)","1.training/447079-14484-43154-[1, 1, 0].png",train
"train/449636-27782-11070-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(267, 265)","(267, 265)","1.training/449636-27782-11070-[0, 0, 1].png",train
"train/1125346-27456-26466-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(203, 262)","(203, 262)","1.training/1125346-27456-26466-[1, 1, 0].png",train
"train/1209158-29236-27163-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(213, 253)","(213, 253)","1.training/1209158-29236-27163-[1, 1, 0].png",train
"train/449636-41741-20232-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(181, 241)","(181, 241)","1.training/449636-41741-20232-[0, 0, 1].png",train
"train/1115189-40618-33946-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(261, 174)","(261, 174)","1.training/1115189-40618-33946-[1, 1, 0].png",train
"train/1021305-24945-30567-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(217, 228)","(217, 228)","1.training/1021305-24945-30567-[0, 1, 0].png",train
"train/1117906-21524-36777-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(283, 267)","(283, 267)","1.training/1117906-21524-36777-[1, 1, 0].png",train
"train/TCGA-55-6983-01Z-00-DX1-35187-13609-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(218, 222)","(218, 222)","1.training/TCGA-55-6983-01Z-00-DX1-35187-13609-[0, 1, 0].png",train
"train/TCGA-53-A4EZ-01Z-00-DX1-91499-69585-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(275, 293)","(275, 293)","1.training/TCGA-53-A4EZ-01Z-00-DX1-91499-69585-[0, 1, 0].png",train
"train/TCGA-49-4512-01Z-00-DX1-47614-25923-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(196, 300)","(196, 300)","1.training/TCGA-49-4512-01Z-00-DX1-47614-25923-[0, 0, 1].png",train
"train/446242-9163-31197-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(222, 194)","(222, 194)","1.training/446242-9163-31197-[1, 1, 0].png",train
"train/TCGA-78-8662-01Z-00-DX1-53577-23731-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(156, 274)","(156, 274)","1.training/TCGA-78-8662-01Z-00-DX1-53577-23731-[0, 1, 0].png",train
"train/440930-37805-13712-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(283, 204)","(283, 204)","1.training/440930-37805-13712-[1, 1, 0].png",train
"train/1209158-25511-33258-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(162, 269)","(162, 269)","1.training/1209158-25511-33258-[1, 0, 0].png",train
"train/1122944-27389-12756-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(247, 213)","(247, 213)","1.training/1122944-27389-12756-[1, 1, 0].png",train
